strategy,mean_npv_mEUR,p05_npv_mEUR,median_npv_mEUR,p95_npv_mEUR,mean_total_capex_mEUR,mean_gross_margin_2030,mean_gross_margin_2035,mean_lost_sales_pct_2025_2030,mean_lost_sales_pct_2030_2035,mean_total_lost_units,mean_total_delivered_units,mean_average_utilization,mean_max_backlog_units,export_tariff_pct,tariff_paid_by_asml_pct
S4_Staged_two_factories,17865.230887937472,15094.334713171413,17912.594003164148,20611.84804418877,10000.0,55.00000000000001,55.00000000000001,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333,0.1,0.5
S5_Aggressive_two_factories,17416.967872209538,14626.646778104337,17445.631172150846,20178.46583679219,10000.0,55.00000000000001,55.00000000000001,0.0,0.0,0.0,716.46,51.25351851851852,3.06,0.1,0.5
S0_No_expansion,17991.986720098466,16923.658277230934,18094.55152706777,18743.33780984006,0.0,50.0,50.0,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333,0.1,1.0
S1_Late_one_factory,16688.42196899544,15514.619138199405,16765.179970100307,17505.770350576055,5000.0,50.0,50.0,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667,0.1,1.0
S2_Balanced_one_factory,17358.402094221976,15392.620937220248,17515.345770318803,18707.65775072027,5000.0,50.0,50.0,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666,0.1,1.0
S3_Early_one_factory,16961.760371102388,14847.109729758013,16978.80950834789,18806.989317170886,5000.0,50.0,50.0,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666,0.1,1.0
S4_Staged_two_factories,14133.15551755288,11762.594209730009,14175.946865013104,16467.809991530277,10000.0,50.0,50.0,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333,0.1,1.0
S5_Aggressive_two_factories,13682.441695147676,11294.906274662932,13714.25195312482,16021.96879785188,10000.0,50.0,50.0,0.0,0.0,0.0,716.46,51.25351851851852,3.06,0.1,1.0
S0_No_expansion,24247.24424632724,22820.6859772207,24384.20088590584,25250.536929611142,0.0,60.0,60.0,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333,0.25,0.0
S1_Late_one_factory,23645.032228974917,22084.54926598442,23754.849467641063,24743.773181450142,5000.0,60.0,60.0,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667,0.25,0.0
S2_Balanced_one_factory,24682.888244118327,22055.216806699264,24907.828141972866,26505.499352356943,5000.0,60.0,60.0,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666,0.25,0.0
S3_Early_one_factory,24335.41207172575,21509.705599237026,24378.602966745202,26821.058349980536,5000.0,60.0,60.0,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666,0.25,0.0
S4_Staged_two_factories,21597.306258322064,18426.07521661282,21640.669837616337,24741.75422708446,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333,0.25,0.0
S5_Aggressive_two_factories,21151.494049271398,17958.38728154574,21186.22409418549,24312.55856699772,10000.0,60.0,60.0,0.0,0.0,0.0,716.46,51.25351851851852,3.06,0.25,0.0
S0_No_expansion,16428.172338541273,15449.40135223349,16522.139187358254,17116.538029897292,0.0,47.5,47.5,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333,0.25,0.5
S1_Late_one_factory,14949.269404000572,13873.841205641587,15017.762595715121,15696.269642857533,5000.0,47.5,47.5,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667,0.25,0.5
S2_Balanced_one_factory,15527.280556747886,13727.123205764407,15666.303489049411,16758.197350311104,5000.0,47.5,47.5,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666,0.25,0.5
S3_Early_one_factory,15118.347445946547,13181.611998302169,15129.936550095481,16803.47205896847,5000.0,47.5,47.5,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666,0.25,0.5
S4_Staged_two_factories,12267.117832360585,10096.723958009306,12304.841066326611,14395.427103293365,10000.0,47.5,47.5,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333,0.25,0.5
S5_Aggressive_two_factories,11815.178606616748,9629.03602294223,11841.285395200062,13954.51439867656,10000.0,47.5,47.5,0.0,0.0,0.0,716.46,51.25351851851852,3.06,0.25,0.5
S0_No_expansion,8609.100430755307,8078.116727246278,8660.077488810668,8982.539130183444,0.0,35.0,35.0,0.0,10.151833814023089,76.88333333333334,639.5766666666667,71.06407407407409,90.89333333333333,0.25,1.0
S1_Late_one_factory,6253.506579026227,5671.606077790308,6299.063129580523,6648.766104264927,5000.0,35.0,35.0,0.0,0.6945733558040514,4.866666666666666,711.5933333333334,67.5493827160494,61.53666666666667,0.25,1.0
S2_Balanced_one_factory,6371.672869377442,5404.73728465637,6428.73795440457,7011.053942181783,5000.0,35.0,35.0,0.0,0.02469261044807189,0.2866666666666667,716.1733333333333,63.449506172839506,20.246666666666666,0.25,1.0
S3_Early_one_factory,5901.282820167341,4859.226077194133,5890.217418284814,6785.885767956406,5000.0,35.0,35.0,0.0,0.0,0.02666666666666667,716.4333333333333,59.16469135802469,14.576666666666666,0.25,1.0
S4_Staged_two_factories,2936.9294063991088,1804.7317228356094,2968.4379916429307,4047.383076524224,10000.0,35.0,35.0,0.0,0.0,0.0,716.46,54.276728395061724,6.153333333333333,0.25,1.0
S5_Aggressive_two_factories,2478.8631639620967,1337.043787768534,2503.0390175629846,3621.262966870565,10000.0,35.0,35.0,0.0,0.0,0.0,716.46,51.25351851851852,3.06,0.25,1.0
