strategy,scenario_id,npv_mEUR,total_revenue_mEUR,total_gross_profit_mEUR,total_ebit_mEUR,total_free_cash_flow_mEUR,total_capex_mEUR,total_demand_units,total_delivered_units,total_lost_units,lost_sales_pct_2025_2030,lost_sales_pct_2030_2035,gross_margin_2030,gross_margin_2035,average_utilization,max_ending_backlog_units
A1_Backlog_cautious,61,24086.70306287901,148200.0,88920.0,58762.0,44407.22,5000.0,752.0,741.0,11.0,0.0,0.021956087824351298,0.6,0.6,0.7,81.0
A1_Backlog_cautious,62,22388.50227266211,141200.0,84720.0,56392.0,41987.520000000004,5000.0,789.0,706.0,83.0,0.0,0.14669051878354203,0.6,0.6,0.7177777777777777,111.0
A1_Backlog_cautious,63,24388.61891274498,128800.0,77280.0,52808.0,42774.47999999999,0.0,679.0,644.0,35.0,0.0,0.015521064301552107,0.6,0.6,0.7155555555555556,88.0
A1_Backlog_cautious,64,22723.614745805407,118800.0,71280.0,48708.0,39453.48,0.0,594.0,594.0,0.0,0.0,0.0,0.6,0.6,0.6599999999999999,44.0
A1_Backlog_cautious,65,22992.14094802827,123200.0,73920.0,50512.0,40914.719999999994,0.0,635.0,616.0,19.0,0.0,0.013953488372093023,0.6,0.6,0.6844444444444445,73.0
A1_Backlog_cautious,66,24210.595071767842,154000.0,92400.0,61140.0,46333.4,5000.0,802.0,770.0,32.0,0.0,0.04308797127468582,0.6,0.6,0.7222222222222221,106.0
A1_Backlog_cautious,67,21242.536483850592,134400.0,80640.0,53604.0,39729.23999999999,5000.0,687.0,672.0,15.0,0.0,0.031315240083507306,0.6,0.6,0.6844444444444445,97.0
A1_Backlog_cautious,68,21717.107975128718,133200.0,79920.0,53112.0,39330.72,5000.0,671.0,666.0,5.0,0.0,0.010917030567685589,0.6,0.6,0.6833333333333333,75.0
A1_Backlog_cautious,69,22487.157020480998,133800.0,80280.0,53358.0,39529.979999999996,5000.0,688.0,669.0,19.0,0.0,0.04157549234135667,0.6,0.6,0.6911111111111111,79.0
A1_Backlog_cautious,70,22142.029281433533,134400.0,80640.0,53604.0,39729.24,5000.0,682.0,672.0,10.0,0.0,0.021929824561403508,0.6,0.6,0.691111111111111,78.0
A1_Backlog_cautious,71,22533.61652381431,136400.0,81840.0,54424.0,40393.439999999995,5000.0,709.0,682.0,27.0,0.0,0.056485355648535567,0.6,0.6,0.701111111111111,86.0
A1_Backlog_cautious,72,22951.752053814125,141800.0,85080.0,56638.0,42186.77999999999,5000.0,725.0,709.0,16.0,0.0,0.03333333333333333,0.6,0.6,0.7237037037037037,98.0
A1_Backlog_cautious,73,21090.129085522116,135600.0,81360.0,54096.0,40127.759999999995,5000.0,715.0,678.0,37.0,0.0,0.07254901960784314,0.6,0.6,0.687037037037037,113.0
A1_Backlog_cautious,74,23368.744491249217,146600.0,87960.0,58356.0,43828.35999999999,5000.0,753.0,733.0,20.0,0.0,0.03875968992248062,0.6,0.6,0.7170370370370371,94.0
A1_Backlog_cautious,75,24477.478615243195,127400.0,76440.0,52234.0,42309.53999999999,0.0,637.0,637.0,0.0,0.0,0.0,0.6,0.6,0.7077777777777778,52.0
A1_Backlog_cautious,76,24953.45001230502,141200.0,84720.0,55642.0,42082.520000000004,5000.0,706.0,706.0,0.0,0.0,0.0,0.6,0.6,0.6518518518518519,42.0
A1_Backlog_cautious,77,21951.489826185396,129000.0,77400.0,51390.0,37935.9,5000.0,645.0,645.0,0.0,0.0,0.0,0.6,0.6,0.6696296296296296,52.0
