delivery_year,market_cycle,delivery_demand_units,order_year,orders_placed_units,scenario_id,latest_historical_year,starting_historical_demand_units,is_extension_year
2028,upturn,70,2027,70,20,2025,48.0,False
2029,downturn,58,2028,58,20,2025,48.0,False
2030,upturn,67,2029,67,20,2025,48.0,False
2031,upturn,92,2030,92,20,2025,48.0,False
2032,downturn,80,2031,80,20,2025,48.0,False
2033,upturn,94,2032,94,20,2025,48.0,False
2034,upturn,91,2033,91,20,2025,48.0,False
2035,downturn,83,2034,83,20,2025,48.0,False
2026,upturn,50,2025,50,21,2025,48.0,False
2027,upturn,56,2026,56,21,2025,48.0,False
2028,downturn,54,2027,54,21,2025,48.0,False
2029,upturn,59,2028,59,21,2025,48.0,False
2030,upturn,66,2029,66,21,2025,48.0,False
2031,downturn,70,2030,70,21,2025,48.0,False
2032,upturn,94,2031,94,21,2025,48.0,False
2033,upturn,99,2032,99,21,2025,48.0,False
2034,downturn,95,2033,95,21,2025,48.0,False
2035,upturn,101,2034,101,21,2025,48.0,False
2026,upturn,55,2025,55,22,2025,48.0,False
2027,upturn,59,2026,59,22,2025,48.0,False
2028,downturn,51,2027,51,22,2025,48.0,False
2029,upturn,51,2028,51,22,2025,48.0,False
2030,upturn,53,2029,53,22,2025,48.0,False
2031,downturn,70,2030,70,22,2025,48.0,False
2032,upturn,88,2031,88,22,2025,48.0,False
2033,upturn,82,2032,82,22,2025,48.0,False
2034,downturn,73,2033,73,22,2025,48.0,False
2035,upturn,86,2034,86,22,2025,48.0,False
2026,upturn,47,2025,47,23,2025,48.0,False
2027,upturn,58,2026,58,23,2025,48.0,False
2028,downturn,61,2027,61,23,2025,48.0,False
2029,upturn,70,2028,70,23,2025,48.0,False
2030,upturn,71,2029,71,23,2025,48.0,False
2031,downturn,93,2030,93,23,2025,48.0,False
2032,upturn,97,2031,97,23,2025,48.0,False
2033,upturn,105,2032,105,23,2025,48.0,False
2034,downturn,98,2033,98,23,2025,48.0,False
2035,upturn,94,2034,94,23,2025,48.0,False
2026,upturn,54,2025,54,24,2025,48.0,False
2027,upturn,48,2026,48,24,2025,48.0,False
2028,downturn,47,2027,47,24,2025,48.0,False
2029,upturn,53,2028,53,24,2025,48.0,False
2030,upturn,61,2029,61,24,2025,48.0,False
2031,downturn,79,2030,79,24,2025,48.0,False
2032,upturn,86,2031,86,24,2025,48.0,False
2033,upturn,85,2032,85,24,2025,48.0,False
2034,downturn,84,2033,84,24,2025,48.0,False
2035,upturn,85,2034,85,24,2025,48.0,False
2026,upturn,57,2025,57,25,2025,48.0,False
2027,upturn,60,2026,60,25,2025,48.0,False
2028,downturn,54,2027,54,25,2025,48.0,False
2029,upturn,59,2028,59,25,2025,48.0,False
2030,upturn,62,2029,62,25,2025,48.0,False
2031,downturn,82,2030,82,25,2025,48.0,False
2032,upturn,87,2031,87,25,2025,48.0,False
2033,upturn,82,2032,82,25,2025,48.0,False
2034,downturn,68,2033,68,25,2025,48.0,False
2035,upturn,93,2034,93,25,2025,48.0,False
2026,upturn,49,2025,49,26,2025,48.0,False
2027,upturn,56,2026,56,26,2025,48.0,False
2028,downturn,52,2027,52,26,2025,48.0,False
2029,upturn,59,2028,59,26,2025,48.0,False
2030,upturn,59,2029,59,26,2025,48.0,False
2031,downturn,80,2030,80,26,2025,48.0,False
2032,upturn,98,2031,98,26,2025,48.0,False
2033,upturn,87,2032,87,26,2025,48.0,False
2034,downturn,80,2033,80,26,2025,48.0,False
2035,upturn,85,2034,85,26,2025,48.0,False
2026,downturn,50,2025,50,27,2025,48.0,False
2027,upturn,57,2026,57,27,2025,48.0,False
2028,upturn,57,2027,57,27,2025,48.0,False
2029,downturn,51,2028,51,27,2025,48.0,False
2030,upturn,58,2029,58,27,2025,48.0,False
2031,upturn,93,2030,93,27,2025,48.0,False
2032,downturn,86,2031,86,27,2025,48.0,False
2033,upturn,88,2032,88,27,2025,48.0,False
2034,upturn,84,2033,84,27,2025,48.0,False
2035,downturn,59,2034,59,27,2025,48.0,False
2026,downturn,46,2025,46,28,2025,48.0,False
2027,upturn,50,2026,50,28,2025,48.0,False
2028,upturn,56,2027,56,28,2025,48.0,False
2029,downturn,54,2028,54,28,2025,48.0,False
2030,upturn,55,2029,55,28,2025,48.0,False
2031,upturn,71,2030,71,28,2025,48.0,False
2032,downturn,58,2031,58,28,2025,48.0,False
2033,upturn,78,2032,78,28,2025,48.0,False
2034,upturn,97,2033,97,28,2025,48.0,False
2035,downturn,95,2034,95,28,2025,48.0,False
2026,upturn,51,2025,51,29,2025,48.0,False
