date,temperature_2m_mean_mato_grosso,temperature_2m_max_mato_grosso,temperature_2m_min_mato_grosso,precipitation_sum_mato_grosso,soil_moisture_0_to_7cm_mean_mato_grosso,soil_moisture_7_to_28cm_mean_mato_grosso,soil_moisture_28_to_100cm_mean_mato_grosso,soil_moisture_0_to_100cm_mean_mato_grosso,soil_temperature_0_to_7cm_mean_mato_grosso,et0_fao_evapotranspiration_sum_mato_grosso,relative_humidity_2m_mean_mato_grosso,vapour_pressure_deficit_max_mato_grosso,wet_bulb_temperature_2m_mean_mato_grosso,snowfall_water_equivalent_sum_mato_grosso,wind_speed_10m_max_mato_grosso,temperature_2m_mean_parana,temperature_2m_max_parana,temperature_2m_min_parana,precipitation_sum_parana,soil_moisture_0_to_7cm_mean_parana,soil_moisture_7_to_28cm_mean_parana,soil_moisture_28_to_100cm_mean_parana,soil_moisture_0_to_100cm_mean_parana,soil_temperature_0_to_7cm_mean_parana,et0_fao_evapotranspiration_sum_parana,relative_humidity_2m_mean_parana,vapour_pressure_deficit_max_parana,wet_bulb_temperature_2m_mean_parana,snowfall_water_equivalent_sum_parana,wind_speed_10m_max_parana,temperature_2m_mean_rio_grande_sul,temperature_2m_max_rio_grande_sul,temperature_2m_min_rio_grande_sul,precipitation_sum_rio_grande_sul,soil_moisture_0_to_7cm_mean_rio_grande_sul,soil_moisture_7_to_28cm_mean_rio_grande_sul,soil_moisture_28_to_100cm_mean_rio_grande_sul,soil_moisture_0_to_100cm_mean_rio_grande_sul,soil_temperature_0_to_7cm_mean_rio_grande_sul,et0_fao_evapotranspiration_sum_rio_grande_sul,relative_humidity_2m_mean_rio_grande_sul,vapour_pressure_deficit_max_rio_grande_sul,wet_bulb_temperature_2m_mean_rio_grande_sul,snowfall_water_equivalent_sum_rio_grande_sul,wind_speed_10m_max_rio_grande_sul
2005-01-21,24.938416,29.227999,21.528,0.70000005,0.46499988,0.47624996,0.5014583,0.49361253,25.188417,3.9053173,83.13122,1.5674732,22.599983,0.0,12.015589,20.311165,23.7195,17.619501,7.799999,0.4692917,0.490875,0.47820818,0.48024425,20.961164,2.5000944,91.37621,0.69247055,19.216478,0.0,9.107359,21.362833,28.0295,14.8295,0.0,0.28087506,0.32137504,0.35291675,0.34125003,24.050333,6.6800356,56.137173,2.4711375,15.352676,0.0,15.273505
2005-01-22,24.336334,27.928,22.578,8.200001,0.47408333,0.46974996,0.4972918,0.48988333,24.850916,2.995538,86.1961,1.0937939,22.493341,0.0,14.84318,20.852835,24.2195,18.5195,10.1,0.466875,0.48750004,0.48600018,0.48497626,21.494501,2.920562,91.03522,0.7183323,19.711058,0.0,9.957108,23.944082,32.279503,14.679501,0.0,0.26916665,0.31741667,0.35112497,0.33830917,25.502417,6.6115837,55.374813,3.1512797,17.421997,0.0,12.287555
2005-01-23,23.605082,27.828,21.328,12.5,0.4872917,0.4865,0.49475,0.49249542,24.342585,2.811454,91.43343,1.0937939,22.475876,0.0,9.19939,20.932001,25.4195,18.6695,22.4,0.46774998,0.4974167,0.49670842,0.49483,21.773664,3.0343637,92.74384,0.89216566,20.003029,0.0,7.6367526,25.754501,32.529503,17.929499,0.0,0.25954172,0.31366664,0.3493333,0.33555794,27.164915,6.693022,54.292282,3.434094,18.740503,0.0,11.901798
2005-01-24,23.984251,29.127998,21.178,9.099999,0.5063333,0.5039167,0.49570835,0.4981759,24.455084,3.5258155,90.629395,1.3134546,22.696451,0.0,8.891344,20.477833,24.1695,18.7195,21.5,0.4764167,0.49487507,0.5050833,0.500933,21.375753,2.4970558,93.99392,0.5657046,19.719862,0.0,14.685176,22.106583,25.5795,19.8795,14.0,0.29954168,0.31174994,0.34849998,0.3373554,24.054502,2.2374468,78.21558,1.3648609,19.29498,0.0,9.0645685
2005-01-25,23.546751,25.328,21.877998,10.899999,0.46566668,0.4903333,0.5065417,0.5002766,24.042582,1.8098933,94.422035,0.4916749,22.822151,0.0,9.504272,19.911165,23.4195,18.369501,48.899998,0.46512508,0.47445837,0.51437503,0.50254494,20.661165,1.8621964,93.67997,0.69513416,19.108257,0.0,17.610588,20.348248,24.2295,16.4795,1.4000001,0.41629168,0.31591663,0.34800002,0.3460429,22.7045,4.8009825,68.0286,1.9805632,16.12821,0.0,19.586117
2005-01-26,23.471748,26.727999,21.928,11.700001,0.501625,0.4969168,0.5057917,0.5036363,24.009253,2.2534854,94.32714,0.6431811,22.734428,0.0,12.371645,19.859083,24.0695,16.8195,0.0,0.4271666,0.44837502,0.50666666,0.4888605,20.573668,4.3033676,72.56254,1.3411165,16.383722,0.0,18.792551,18.050331,23.4795,12.479501,0.0,0.376375,0.317,0.34712508,0.34284624,21.0045,6.43357,48.994137,2.0117283,11.548587,0.0,17.208603
2005-01-27,25.042582,29.727999,21.778,5.0,0.49041662,0.4967083,0.50308335,0.5008579,24.955078,3.7782311,84.32097,1.520787,22.86886,0.0,10.948973,16.756998,19.3195,15.269501,5.0,0.43154168,0.44216672,0.49999997,0.4830629,18.263254,2.0345097,78.87107,0.59614503,14.286667,0.0,17.771753,19.812834,26.5295,12.6295,0.0,0.3440833,0.31475008,0.34562495,0.33903337,21.739916,6.6871037,49.027683,2.2702951,13.188859,0.0,15.517629
2005-01-28,24.292582,28.727999,21.127998,24.000004,0.473375,0.49545836,0.5103333,0.5046225,24.907166,3.555273,89.81198,1.1204221,22.914543,0.0,8.534353,18.452833,22.1695,15.0695,4.4,0.4622083,0.44445828,0.49562505,0.48254094,18.992418,2.6931674,84.74485,0.7435038,16.584759,0.0,15.876775,22.273249,28.179499,16.0295,0.0,0.32041666,0.31212494,0.34454158,0.3360454,23.408667,5.220665,59.441025,2.328739,16.716434,0.0,10.1376915
2005-01-29,24.588417,29.278,21.178,6.2999997,0.48245835,0.4955833,0.50783324,0.50348455,25.202993,4.018664,88.623116,1.3402572,23.007257,0.0,6.1305785,19.709087,23.7195,16.619501,5.8,0.4750001,0.45037496,0.49229172,0.4822788,19.944502,2.8493695,86.10169,0.7949817,17.96465,0.0,12.879752,24.119081,29.179499,19.179499,0.2,0.3060417,0.30999997,0.34350002,0.3338429,24.896164,5.3147264,66.8798,1.913702,19.568811,0.0,13.358861
2005-01-30,24.790499,29.578,22.377998,18.7,0.47704163,0.49462497,0.5100417,0.50449413,25.265501,3.627577,90.23295,1.2235,23.470625,0.0,7.9932966,20.840332,24.869501,18.119501,1.2,0.4692084,0.4562501,0.48945823,0.48106703,21.00492,3.6820629,82.3722,0.9704671,18.58364,0.0,16.279802,26.08783,30.9795,21.3795,0.0,0.29445836,0.30766666,0.34245834,0.3317921,26.271166,6.0082517,59.267086,2.4195313,20.200811,0.0,19.734436
